Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
111,0,補題,名詞,一般,*,*,補題,38
112,0,優,名詞,一般,*,*,優,38
113,0,収束,名詞,サ変接続,*,*,収束,36
114,0,定理,名詞,一般,*,*,定理,38
0,0,可算,名詞,一般,*,*,可算,38
1,0,加法,名詞,一般,*,*,加法,38
2,0,族,名詞,接尾,一般,*,族,51
3,0,可,名詞,接尾,一般,*,可,51
4,0,測,動詞,自立,*,*,測る,31
5,0,空間,名詞,一般,*,*,空間,38
6,0,測度,名詞,一般,*,*,測度,38
7,0,測度,名詞,一般,*,*,測度,38
8,0,空間,名詞,一般,*,*,空間,38
10,0,測度,名詞,一般,*,*,測度,38
11,0,可,名詞,接尾,一般,*,可,51
12,0,測,動詞,自立,*,*,測る,31
13,0,関数,名詞,一般,*,*,関数,38
15,0,積分,名詞,サ変接続,*,*,積分,36
16,0,単調収束定理,名詞,固有名詞,一般,*,単調収束定理,41
19,0,補題,名詞,一般,*,*,補題,38
20,0,優,名詞,一般,*,*,優,38
21,0,収束,名詞,サ変接続,*,*,収束,36
22,0,定理,名詞,一般,*,*,定理,38
23,0,可算,名詞,一般,*,*,可算,38
24,0,加法,名詞,一般,*,*,加法,38
25,0,族,名詞,接尾,一般,*,族,51
26,0,可,名詞,接尾,一般,*,可,51
27,0,測,動詞,自立,*,*,測る,31
28,0,空間,名詞,一般,*,*,空間,38
29,0,測度,名詞,一般,*,*,測度,38
30,0,測度,名詞,一般,*,*,測度,38
31,0,空間,名詞,一般,*,*,空間,38
33,0,測度,名詞,一般,*,*,測度,38
34,0,可,名詞,接尾,一般,*,可,51
35,0,測,動詞,自立,*,*,測る,31
36,0,関数,名詞,一般,*,*,関数,38
38,0,積分,名詞,サ変接続,*,*,積分,36
39,0,単調収束定理,名詞,固有名詞,一般,*,単調収束定理,41
42,0,補題,名詞,一般,*,*,補題,38
43,0,優,名詞,一般,*,*,優,38
44,0,収束,名詞,サ変接続,*,*,収束,36
45,0,定理,名詞,一般,*,*,定理,38
46,0,可算,名詞,一般,*,*,可算,38
47,0,加法,名詞,一般,*,*,加法,38
48,0,族,名詞,接尾,一般,*,族,51
49,0,可,名詞,接尾,一般,*,可,51
50,0,測,動詞,自立,*,*,測る,31
51,0,空間,名詞,一般,*,*,空間,38
52,0,測度,名詞,一般,*,*,測度,38
53,0,測度,名詞,一般,*,*,測度,38
54,0,空間,名詞,一般,*,*,空間,38
56,0,測度,名詞,一般,*,*,測度,38
57,0,可,名詞,接尾,一般,*,可,51
58,0,測,動詞,自立,*,*,測る,31
59,0,関数,名詞,一般,*,*,関数,38
61,0,積分,名詞,サ変接続,*,*,積分,36
62,0,単調収束定理,名詞,固有名詞,一般,*,単調収束定理,41
65,0,補題,名詞,一般,*,*,補題,38
66,0,優,名詞,一般,*,*,優,38
67,0,収束,名詞,サ変接続,*,*,収束,36
68,0,定理,名詞,一般,*,*,定理,38
69,0,可算,名詞,一般,*,*,可算,38
70,0,加法,名詞,一般,*,*,加法,38
71,0,族,名詞,接尾,一般,*,族,51
72,0,可,名詞,接尾,一般,*,可,51
73,0,測,動詞,自立,*,*,測る,31
74,0,空間,名詞,一般,*,*,空間,38
75,0,測度,名詞,一般,*,*,測度,38
76,0,測度,名詞,一般,*,*,測度,38
77,0,空間,名詞,一般,*,*,空間,38
79,0,測度,名詞,一般,*,*,測度,38
80,0,可,名詞,接尾,一般,*,可,51
81,0,測,動詞,自立,*,*,測る,31
82,0,関数,名詞,一般,*,*,関数,38
84,0,積分,名詞,サ変接続,*,*,積分,36
85,0,単調収束定理,名詞,固有名詞,一般,*,単調収束定理,41
88,0,補題,名詞,一般,*,*,補題,38
89,0,優,名詞,一般,*,*,優,38
90,0,収束,名詞,サ変接続,*,*,収束,36
91,0,定理,名詞,一般,*,*,定理,38
92,0,可算,名詞,一般,*,*,可算,38
93,0,加法,名詞,一般,*,*,加法,38
94,0,族,名詞,接尾,一般,*,族,51
95,0,可,名詞,接尾,一般,*,可,51
96,0,測,動詞,自立,*,*,測る,31
97,0,空間,名詞,一般,*,*,空間,38
98,0,測度,名詞,一般,*,*,測度,38
99,0,測度,名詞,一般,*,*,測度,38
100,0,空間,名詞,一般,*,*,空間,38
102,0,測度,名詞,一般,*,*,測度,38
103,0,可,名詞,接尾,一般,*,可,51
104,0,測,動詞,自立,*,*,測る,31
105,0,関数,名詞,一般,*,*,関数,38
107,0,積分,名詞,サ変接続,*,*,積分,36
108,0,単調収束定理,名詞,固有名詞,一般,*,単調収束定理,41
111,0,補題,名詞,一般,*,*,補題,38
112,0,優,名詞,一般,*,*,優,38
113,0,収束,名詞,サ変接続,*,*,収束,36
114,0,定理,名詞,一般,*,*,定理,38
0,0,実解析,名詞,固有名詞,一般,*,実解析,41
0,0,実解析,名詞,固有名詞,一般,*,実解析,41
0,0,実解析,名詞,固有名詞,一般,*,実解析,41
0,0,実解析,名詞,固有名詞,一般,*,実解析,41
0,0,実解析,名詞,固有名詞,一般,*,実解析,41
0,0,実解析,名詞,固有名詞,一般,*,実解析,41
0,0,実解析,名詞,固有名詞,一般,*,実解析,41
0,0,実解析,名詞,固有名詞,一般,*,実解析,41
0,0,実解析,名詞,固有名詞,一般,*,実解析,41
